AIRLINE,flights,delay_rate,avg_arrival_delay,median_arrival_delay
MQ,2682,0.49328859060402686,26.793064876957494,15.0
F9,751,0.4434087882822903,29.311584553928096,11.0
HA,666,0.38738738738738737,21.624624624624623,9.0
AA,4689,0.37705267647686075,22.09831520580081,7.0
NK,920,0.36086956521739133,17.002173913043478,6.0
UA,4236,0.3378186968838527,14.652030217186024,4.0
WN,10301,0.3354043296767304,13.896223667605087,5.0
OO,5102,0.33535868286946297,18.048608388867112,4.0
EV,5081,0.3206061798858492,16.104703798464868,3.0
B6,2417,0.21928009929664874,6.844021514273893,-3.0
US,3500,0.20285714285714285,6.169142857142857,-1.5
AS,1484,0.17722371967654987,3.6118598382749325,-3.0
DL,6396,0.16604127579737335,1.9901500938086305,-5.5
VX,528,0.125,-0.013257575757575758,-4.0
